ID,名前,誕生日,学生,身長,体重
1,あさもっちゃん1,2018/10/23,○,170.8749861646307,46.48580649206767
2,あさもっちゃん2,1976/06/17,,177.01871605306872,63.64581547124394
3,あさもっちゃん3,1975/02/15,,162.93528459138247,68.88257850472127
4,あさもっちゃん4,1977/08/15,,193.53835867905704,63.25959529761098
5,あさもっちゃん5,1976/07/24,,151.8293835160727,68.66873492799984
6,あさもっちゃん6,1999/08/02,○,145.58356838692148,73.09259999550554
7,あさもっちゃん7,2009/06/16,○,193.79927571582618,68.87675056012418
8,あさもっちゃん8,1997/12/05,○,149.18246295083782,81.50113282067723
9,あさもっちゃん9,2005/10/06,○,143.02410202339613,34.50900702275607
10,あさもっちゃん10,1968/06/15,,195.99693999977342,83.15716852046415
